PROTOCOL_NO,TITLE,NCT_ID,SHORT_TITLE,INVESTIGATOR_NAME,STATUS,ELIGIBILITY,DETAILED_ELIGIBILITY,DESCRIPTION,PHASE_DESC,TREATMENT_TYPE_DESC,AGE_DESCRIPTION,SCOPE_DESC,LOCATION_NAME,SUMMARY,MODIFIED_DATE,DEPARTMENT_NAME,SPONSOR_NAMES/SPONSOR_NAME/0,SPONSOR_NAMES/SPONSOR_NAME/1,DISEASE_SITES/DISEASE_SITE/0,DISEASE_SITES/DISEASE_SITE/1,DISEASE_SITES/DISEASE_SITE/2,DISEASE_SITES/DISEASE_SITE/3,DISEASE_SITES/DISEASE_SITE/4,DISEASE_SITES/DISEASE_SITE/5,DISEASE_SITES/DISEASE_SITE/6,DISEASE_SITES/DISEASE_SITE/7,SPONSOR_NAMES/SPONSOR_NAME/2,DISEASE_SITES/DISEASE_SITE/8,DISEASE_SITES/DISEASE_SITE/9,DISEASE_SITES/DISEASE_SITE/10,DISEASE_SITES/DISEASE_SITE/11,DISEASE_SITES/DISEASE_SITE/12,DISEASE_SITES/DISEASE_SITE/13,DISEASE_SITES/DISEASE_SITE/14,DISEASE_SITES/DISEASE_SITE/15,DISEASE_SITES/DISEASE_SITE/16,DISEASE_SITES/DISEASE_SITE/17,DISEASE_SITES/DISEASE_SITE/18,DISEASE_SITES/DISEASE_SITE/19,DISEASE_SITES/DISEASE_SITE/20,DISEASE_SITES/DISEASE_SITE/21,DISEASE_SITES/DISEASE_SITE/22,DISEASE_SITES/DISEASE_SITE/23,DISEASE_SITES/DISEASE_SITE/24,DISEASE_SITES/DISEASE_SITE/25,DISEASE_SITES/DISEASE_SITE/26,DISEASE_SITES/DISEASE_SITE/27,DISEASE_SITES/DISEASE_SITE/28,DISEASE_SITES/DISEASE_SITE/29,DISEASE_SITES/DISEASE_SITE/30,DISEASE_SITES/DISEASE_SITE/31,DISEASE_SITES/DISEASE_SITE/32,DISEASE_SITES/DISEASE_SITE/33,DISEASE_SITES/DISEASE_SITE/34,SPONSOR_NAMES/SPONSOR_NAME/3,DISEASE_SITES/DISEASE_SITE/35,DISEASE_SITES/DISEASE_SITE/36,DISEASE_SITES/DISEASE_SITE/37,DISEASE_SITES/DISEASE_SITE/38,DISEASE_SITES/DISEASE_SITE/39,DISEASE_SITES/DISEASE_SITE/40,DISEASE_SITES/DISEASE_SITE/41,THERAPY_NAMES/THERAPY_NAME/0,THERAPY_NAMES/THERAPY_NAME/1,THERAPY_NAMES/THERAPY_NAME/2,DRUG_NAMES/DRUG_NAME/0,DRUG_NAMES/DRUG_NAME/1,DRUG_NAMES/DRUG_NAME/2,DRUG_NAMES/DRUG_NAME/3,DRUG_NAMES/DRUG_NAME/4
NRG-HN001,Randomized Phase II and Phase III Studies of Individualized Treatment for Nasopharyngeal Carcinoma Based on Biomarker Epstein Barr Virus (EBV) Deoxyribonucleic Acid (DNA),NCT02135042,Phase2/3 study of Individualized Treatment for Nasopharyngeal Carcinoma Based on Biomarker EBV DNA,Rupali Nabar,OPEN TO ACCRUAL,"18 Years and older   (Adult, Older Adult)","Inclusion Criteria:

Biopsy proven (from primary lesion and/or lymph nodes) diagnosis of cancer of the nasopharynx
Sites are required to complete Step 1 registration before submitting specimens for EBV DNA analysis.

Patients must have detectable pretreatment plasma EBV DNA, determined by the central lab prior to Step 2 registration (see Section 10.2 for details of specimen submission).
For patients who have detectable plasma EBV DNA tested at one of the credentialed central labs (listed on the EBV DNA Testing Specimen Transmittal form) within 28 days prior to Step 1 registration: that test result can be used for eligibility without the need for re-testing. To use this test result for eligibility, the central lab must enter the test result through the pathology portal, and the site must follow the instructions in Section 5.4.
Stage II-IVB disease (AJCC, 7th ed.) with no evidence of distant metastasis, based upon the following minimum diagnostic workup:

History/physical examination by a Medical Oncologist or Clinical Oncologist or Radiation Oncologist or ENT, which must include an endoscopic evaluation, a complete list of current medications, and assessment of weight and weight loss in the past 6 months within 21 days prior to registration;
Evaluation of tumor extent required within 28 days prior to registration:
MRI of the nasopharynx and neck; or CT of the nasopharynx and neck with &#8804; 3 mm contiguous slices with contrast and bone windows (to evaluate base of skull involvement).
Note: If a treatment planning CT scan is used, it must be with &#8804; 3 mm contiguous slices with contrast and be read by a radiologist.

Exclusion Criteria:

Prior invasive malignancy (except node negative, non-melanomatous skin cancer) unless disease free for a minimum of 1095 days (3 years) (for example, carcinoma in situ of the breast, oral cavity, or cervix are all permissible)
Prior systemic chemotherapy for the study cancer; note that prior chemotherapy for a different cancer is allowable; however, at least 6-weeks recovery is necessary if the last regimen included nitrosourea or mitomycin
Prior radiotherapy to the region of the study cancer that would result in overlap of radiation therapy fields
Patients with hearing loss assessed to be primarily sensorineural in nature, requiring a hearing aid, or intervention (i.e. interfering in a clinically significant way with activities of daily living); a conductive hearing loss that is tumor-related is allowed
&#8805; Grade 2 peripheral sensory neuropathy (CTCAE, v. 4.0)
Severe, active co-morbidity, defined as follows:

Major medical or psychiatric illness, which in the investigator's opinion would interfere with the completion of therapy and follow up or with full understanding of the risks and potential complications of the therapy
Unstable angina and/or uncontrolled congestive heart failure within the past 6 months
Myocardial infarction within the last 6 months
Acute bacterial or fungal infection requiring intravenous antibiotics at the time of registration; note that patients switched from IV antibiotics and currently on oral antibiotics whose infection is assessed to be adequately treated or controlled are eligible
Chronic Obstructive Pulmonary Disease exacerbation or other respiratory illness requiring hospitalization or precluding study therapy within 30 days prior to registration
Acquired Immune Deficiency Syndrome (AIDS) based upon current Centers for Disease Control and Prevention (CDC) definition; note, however, that Human Immunodeficiency Virus (HIV) testing is not required for entry into this protocol. The need to exclude patients with AIDS from this protocol is necessary because the treatments involved in this protocol may be significantly immunosuppressive.
Pregnancy or women of childbearing potential and men who are sexually active and not willing/able to use medically acceptable forms of contraception","There are two study questions we are asking in this randomized phase II/III trial based on a blood biomarker, Epstein Barr virus (EBV) deoxyribonucleic acid (DNA) for locoregionally advanced non-metastatic nasopharyngeal cancer. All patients will first undergo standard concurrent chemotherapy and radiation therapy. When this standard treatment is completed, if there is no detectable EBV DNA in their plasma, then patients are randomized to either standard adjuvant cisplatin and fluorouracil chemotherapy or observation. If there is still detectable levels of plasma EBV DNA, patients will be randomized to standard cisplatin and fluorouracil chemotherapy versus gemcitabine and paclitaxel. Radiation therapy uses high energy x rays to kill tumor cells. Drugs used in chemotherapy, such as cisplatin, fluorouracil, gemcitabine hydrochloride, and paclitaxel work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. It is not yet known whether giving cisplatin and fluorouracil is more effective than gemcitabine hydrochloride and paclitaxel after radiation therapy in treating patients with nasopharyngeal cancer.",II/III,Treatment,Adults,Local,,,2022-01-06T22:40:08,CFCCC,Radiation Therapy Oncology Group,NRG Oncology,"Lip, Oral Cavity and Pharynx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCI-14-89,[BIOREPOSITORY] Hematologic Malignancies Biorepository for human research,,BIOREPOSITORY PROTOCOL EXEMPT FROM NCI REPORTING,Angela G Fleischman,OPEN TO ACCRUAL,Adult,"AM I ELIGIBLE TO PARTICIPATE IN THIS STUDY?
Please note this may not be a complete list of eligibility criteria. We have included a few examples of study criteria to help you better understand how your eligibility in the study will be determined; your study team will go through the study eligibility criteria with you to verify if you qualify for participation in this study.

Inclusion Requirements
You can participate in this study if you have or are being evaluated for a blood disorder

Exclusion Requirements
You cannot participate in this study if you are pregnant.","UC Irvine Medical Center is both a treatment and a research hospital. As a patient here, you may be treated
by some doctors who are also researchers performing studies to improve treatments currently available.

Scientists and clinicians at this institution are working together to discover new ways to treat cancer and
new ways to make current treatments safer and more effective. In order to conduct this research, we need
to study samples of normal and disease tissue obtained from normal volunteers and our patients. In order
to minimize the discomfort and risk to subjects, we are seeking to collect tissue that is left over from studies
that are required for your evaluation and care and are already being done. In certain circumstances (blood
draw and bone marrow aspiration) we are seeking to collect a small amount of tissue in addition to the
sample that would be collected for your routine care. Except for giving samples of blood, you will not be
asked to undergo any procedure solely for the purpose of obtaining a sample for this study. 

You are being asked to take part in this research study because you have or are being evaluated for a
hematologic malignancy, bone marrow disorder, or immune system disorder.

This research study involves the collection and storage of blood and other tissue for later research testing.
It is not currently known how samples donated to the repository will be used at this time. These research tests may be developed during the time you are a patient at UC Irvine Medical Center, or in some cases, years later. Any researcher at UCI or their collaborators (including for-profit entities) may request permission to use samples from the repository. Frozen de-identified samples will be provided to researchers after their plans have been evaluated and approved by the UCI review board that oversees human research (IRB). These tests may provide additional information that will be helpful in understanding cancer and other diseases, but it is unlikely that what we learn from these studies will benefit you directly.

These studies may benefit other patients in the future. The research performed on these samples may
include the study of genetics, including the subject&#8217;s DNA code, parts or the DNA code or even whole
genome sequencing. Samples from the repository will not be used to create cell lines.",N/A,Other,Adults,Local,,,2021-03-24T10:07:16,CFCCC,UCI,,Non-Hodgkin's Lymphoma,Mycosis Fungoides,Multiple Myeloma,Lymphoid Leukemia,"Leukemia, other",Myeloid and Monocytic Leukemia,Other Hematopoietic,Hodgkin's Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCI-15-40,[EXEMPT - REGISTRY TRIAL] Prospective and Retrospective Study of Outcomes for Patients with Malignant Melanoma,NCT99999999,Prospective and Retrospective Study of Outcomes for Patients with Malignant Melanoma,Maki Yamamoto,OPEN TO ACCRUAL,"You are eligible to participate in this study if you are at least 18 years old and have a confirmed diagnosis of 
melanoma.","You are eligible to participate in this study if you are at least 18 years old and have a confirmed diagnosis of 
melanoma.","Advances in the treatment of malignant melanoma are being developed in terms of medical information on
diagnosis, surgery, adjuvant therapy and post-treatment surveillance. The purpose of this protocol would be to
create a data repository by collecting key data elements to watch for patterns within melanoma to potentially
help future patients. By collecting this data, we intend to assess trends by watching for patterns of melanoma
inclusive of treatment, criteria for staging, time to recurrence, population, patients at risk for recurrence,
survival of patients, and time to death. The collection of this data will include a retrospective collection of
historical patients and a prospective collection from new patients within the melanoma UC Irvine Health clinics",N/A,Basic Science,Adults,,,,2021-02-12T11:45:58,CFCCC,UCI,,"Melanoma, Skin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLIANCE-A071401,Phase II Trial of SMO/AKT/NF2/CDK Inhibitors in Progressive Meningiomas with SMO/ AKT/ NF2 /CDK Pathway Mutations,NCT02523014,Ph II Trial of SMO/AKT/NF2 Inhibitors in Progressive Meningiomas w/ SMO/ AKT/ NF2 Mutations,Daniela Bota,OPEN TO ACCRUAL,Adults,"Inclusion Criteria: 
- Histologically proven intracranial meningioma as documented by 
central pathology review
- Presence of SMO, PTCH1, NF2, CDKN2A, AKT1, PIK3CA, PTEN 
mutations, CDKN2A copy number loss, CDK4, CDK6, CCND1, CCND2, CCND3, or CCNE1 
copy number gain in tumor sample as documented specifically by the central laboratory
- Male or female who are not pregnant and not nursing

Exclusion Criteria:
- Patients who have active bacterial infection
- Patients who have history of heart diseases as described by the study protocol
- Patients who have uncontrolled hypertension","This phase II trial studies how well vismodegib, focal adhesion kinase (FAK) inhibitor GSK2256098, and capivasertib work in treating patients with meningioma that is growing, spreading, or getting worse (progressive). Vismodegib, FAK inhibitor GSK2256098, capivasertib, and abemaciclib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.",II,Treatment,Adults,National,,,2022-06-17T16:20:02,CFCCC,Alliance,NRG Oncology,Brain and Nervous System,,,,,,,,SWOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCI-16-79,"A Phase I/II, Open-Label, Multi-Center, First-in-Human Study of the Safety, Tolerability, Pharmacokinetics, and Anti-Tumor Activity of TPX-0005 in Patients with Advanced Solid Tumors Harboring ALK, ROS1, or NTRK1-3 Rearrangements (TRIDENT-1)",NCT03093116,Ph I/II Study of TPX-0005 for ALK/ROS1/NTRK1-3 Rearrangements in Adv Solid Tumors (TRIDENT-1),Misako Nagasaka,OPEN TO ACCRUAL,Adults,"Please note this may not be a complete list of eligibility criteria. We have included a few examples of study criteria to help you better understand how your eligibility in the study will be determined; your study team will go through the study eligibility criteria with you to verify if you qualify for participation in this study.

Inclusion Requirements
You can participate in this study if you 
&#8226;	Are a male or female subject, 18 years of age or older 
&#8226;	Are able to adhere to the study visit schedule and other protocol requirements
&#8226;	Have a confirmed diagnosis of locally advanced or metastatic solid tumor that has a specific gene rearrangement

Exclusion Requirements 
You cannot participate in this study if you
&#8226;	Are pregnant or breastfeeding, or intending to become pregnant during the study 
&#8226;	Are currently participating in another therapeutic clinical trial
&#8226;	Have a known active infection (bacterial, fungal, or viral, including human immunodeficiency virus positivity).","This study has 2 parts (Phase 1 and Phase 2): 
&#8226;	Phase 1: Phase 1 of this research study is currently ongoing. It was the first time that the study drug, reprotrectinib, was given to humans.
o	The purpose of Phase 1 was to determine the dose of repotrectinib to use in Phase 2 of the study.  Phase 1 look at the side effects and response of tumors to different doses of repotrectinib. Phase 1 also looked at how different foods affect how repotrectinib gets into the body. Phase 1 includes the following sub-studies:
&#61607;	Phase 1a, where the study drug is given under fasting conditions. You will need to fast 1 hour before and 2 hours after study drug administration. As of November 5th 2018, this part of the study is completed and will not enroll any new subjects
&#61607;	Phase 1b is a Food Effect Sub-Study (a study within a study). You may be asked to participate in the Food Effect Sub-Study. The purpose of the Food Effect Sub-Study is to determine the effect of high-fat, high-calorie food on a single dose of repotrectinib (how much and how fast repotrectinib gets into the body after a meal). As of November 5th 2018, this part of the study is completed and will not enroll any new subjects.
&#61607;	Phase 1 also includes a study of repotrectinib when administered continuously with food, where you will take every dose of the study drug with a standard meal, called Phase 1c. 
&#8226;	Phase 2: You are being asked to participate in Phase 2 of this study (not Phase 1). The purpose of Phase 2 is to determine, more specifically, whether repotrectinib works, especially in groups of subjects who have the various tumor gene rearrangements mentioned above. Phase 2 will also continue to look at the side effects as well as how repotrectinib is absorbed into the body.
The Phase 2 portion of the study will evaluate the anti-cancer activity of repotrectinib at the dose listed below:
&#8226;	160 mg once a day for 14 days that may increase to 160 mg twice a day based on the drug&#8217;s tolerability 
The study doctor will assess and decide if your dose should be increased or decreased.
 No study procedures related to this study will be performed until you have signed this Informed Consent Form. A copy of the signed Informed Consent Form will be given to you to keep.",I/II,Treatment,Adults,Local,,,2021-02-08T16:27:33,CFCCC,Turning Point Therapeutics,"INC Research, Inc. (Raleigh, North Carolina)",Brain and Nervous System,Breast,Colon,Thyroid,Rectum,Other Digestive Organ,"Lip, Oral Cavity and Pharynx","Melanoma, Skin",,Other Skin,Lung,Urinary Bladder,Kidney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCI-16-56,"Phase II, Single Arm Study Of NOVOTTF-200A In Bevacizumab-Naive Subjects With Recurrent WHO Grade III Malignant Astrocytoma",NCT03450850,Ph II Study of Optune in Bevacizumab-Naïve Subjects w/ Recurrent WHO Grade III Malignant Astrocytoma,Daniela Bota,OPEN TO ACCRUAL,Adults 21 years of age and older,"Please note this may not be a complete list of eligibility criteria. We have included a few examples of study criteria to help you better understand how your eligibility in the study will be determined; your study team will go through the study eligibility criteria with you to verify if you qualify for participation in this study.
 
Inclusion Requirements
You can participate in this study if you:
1.	Are greater than 21 years of age
2.	Have been diagnosed with brain tumors Anaplastic Astrocytoma (AA)
3.	Have not been treated with Bevacizumab or any anti-angiogenesis drug prior to treatment.

Exclusion Requirements 
You cannot participate in this study if you:
1.	Are pregnant or breastfeeding
2.	Have had chemotherapy within 4 weeks of starting this study
3.	Have any condition the study doctor feels increase the risk to you by participating on this study.",This is a Phase 2 study in subjects with WHO Grade III Anaplastic Astrocytoma (G3 astrocytoma) who had progressive disease during first or second line treatment and who have not previously received any BEV (Bevacizumab) or any experimental agents.,II,Treatment,Adults,Local,,,2021-02-12T13:18:01,CFCCC,NovoCure Ltd.,UCI,Brain and Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRG-BN003,Phase III Trial of Observation versus Irradiation for a Gross Totally Resected Grade II Meningioma,NCT03180268,Ph III Trial of Observation Vs Irradiation for a Gross Totally Resected Grade II Meningioma,Xiao-Tang Kong,OPEN TO ACCRUAL,Adults,"Inclusion Criteria: 
- The patient must have a newly diagnosed unifocal intracranial meningioma, gross totally resected, and histologically confirmed as WHO grade II based upon pathology findings at the enrolling institution; WHO grade will be assigned according to WHO 2016 criteria
- Gross total resection (GTR) will be interpreted as modified Simpson grade 1-3 without gross residual dural-based or extradural tumor; GTR must be confirmed both by modified Simpson grade and by post-operative magnetic resonance imaging (MRI) findings
- The patient or a legally authorized representative must provide study-specific informed consent prior to study entry

Exclusion Criteria: 
- Definitive evidence of metastatic meningioma
- Prior invasive malignancy (except non-melanomatous skin cancer) unless disease free for a minimum of 3 years (carcinoma in situ of the breast, oral cavity, cervix, melanoma in situ, or other non-invasive malignancies are permissible)
- Previous radiotherapy to the scalp, cranium, brain, or skull base and radiation-induced meningiomas",This randomized phase III trial studies how well radiation therapy works compared with observation in treating patients with newly diagnosed grade II meningioma that has been completely removed by surgery. Radiation therapy uses high energy x-rays to kill tumor cells and shrink tumors.,III,Treatment,Adults,National,,,2021-05-26T13:28:34,CFCCC,NRG Oncology,,Brain and Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLIANCE-A071601,Phase II Trial of BRAF/MEK Inhibitors in Papillary Craniopharyngiomas,NCT03224767,Ph II Trial of BRAF/MEK Inhibitors in Papillary Craniopharyngiomas,Yoon Jae Choi,OPEN TO ACCRUAL,Adults,"Inclusion Criteria: 
- Pre-registration: Patients must have local diagnosis of papillary craniopharyngioma and have tissue slides available for submission to central pathology review; central pathology review will include immunohistochemistry (IHC) testing for BRAF V600E mutation (VE1 clone) and beta-catenin IHC (membranous, non-nuclear pattern) if needed to confirm diagnosis of papillary craniopharyngioma
- Histologically proven papillary craniopharyngioma as documented by central pathology review with positive BRAF V600E mutation by IHC
- Not pregnant and not nursing; for women of childbearing potential only, a negative pregnancy test done =< 7 days prior to registration is required",This phase II trial studies how well vemurafenib and cobimetinib work in treating patients with BRAF V600E mutation positive craniopharyngioma. Vemurafenib and cobimetinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth,II,Treatment,Adults,National,,,2021-05-26T13:45:24,CFCCC,Alliance,,Brain and Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
